Time,P CE ST1  Discharge pressure CA Seg.1 [psia]
4/5/2011 5:54:12 PM,18.70
4/6/2011 11:25:24 AM,55.99
4/7/2011 4:56:36 AM,55.61
4/7/2011 10:27:48 PM,55.53
4/8/2011 3:59:00 PM,55.88
4/9/2011 9:30:12 AM,56.36
4/10/2011 3:01:24 AM,56.21
4/10/2011 8:32:36 PM,55.86
4/11/2011 2:03:48 PM,55.97
4/12/2011 7:35:00 AM,55.48
4/13/2011 1:06:12 AM,55.37
4/13/2011 6:37:24 PM,54.86
4/14/2011 12:08:36 PM,54.50
4/15/2011 5:39:48 AM,35.53
4/15/2011 11:11:00 PM,13.18
4/16/2011 4:42:12 PM,14.08
4/17/2011 10:13:24 AM,13.14
4/18/2011 3:44:36 AM,12.67
4/18/2011 9:15:48 PM,12.72
4/19/2011 2:47:00 PM,12.67
4/20/2011 8:18:12 AM,12.80
4/21/2011 1:49:24 AM,12.85
4/21/2011 7:20:36 PM,12.59
4/22/2011 12:51:48 PM,12.73
4/23/2011 6:23:00 AM,12.77
4/23/2011 11:54:12 PM,12.77
4/24/2011 5:25:24 PM,12.67
4/25/2011 10:56:36 AM,12.78
4/26/2011 4:27:48 AM,12.66
4/26/2011 9:59:00 PM,12.74
4/27/2011 3:30:12 PM,13.24
4/28/2011 9:01:24 AM,13.12
4/29/2011 2:32:36 AM,13.02
4/29/2011 8:03:48 PM,13.00
4/30/2011 1:35:00 PM,12.86
5/1/2011 7:06:12 AM,12.87
5/2/2011 12:37:24 AM,13.31
5/2/2011 6:08:36 PM,13.57
5/3/2011 11:39:48 AM,13.66
5/4/2011 5:11:00 AM,13.40
5/4/2011 10:42:12 PM,14.04
5/5/2011 4:13:24 PM,14.84
5/6/2011 9:44:36 AM,14.17
5/7/2011 3:15:48 AM,13.85
5/7/2011 8:47:00 PM,13.42
5/8/2011 2:18:12 PM,13.02
5/9/2011 7:49:24 AM,12.16
5/10/2011 1:20:36 AM,11.55
5/10/2011 6:51:48 PM,11.28
5/11/2011 12:23:00 PM,11.26
5/12/2011 5:54:12 AM,11.49
5/12/2011 11:25:24 PM,11.11
5/13/2011 4:56:36 PM,11.48
5/14/2011 10:27:48 AM,11.86
5/15/2011 3:59:00 AM,11.44
5/15/2011 9:30:12 PM,11.31
5/16/2011 3:01:24 PM,11.55
5/17/2011 8:32:36 AM,11.48
5/18/2011 2:03:48 AM,11.34
5/18/2011 7:35:00 PM,11.33
5/19/2011 1:06:12 PM,11.33
5/20/2011 6:37:24 AM,11.35
5/21/2011 12:08:36 AM,11.29
5/21/2011 5:39:48 PM,11.31
5/22/2011 11:11:00 AM,11.36
5/23/2011 4:42:12 AM,11.06
5/23/2011 10:13:24 PM,12.69
5/24/2011 3:44:36 PM,11.86
5/25/2011 9:15:48 AM,12.30
5/26/2011 2:47:00 AM,40.11
5/26/2011 8:18:12 PM,52.58
5/27/2011 1:49:24 PM,52.48
5/28/2011 7:20:36 AM,52.63
5/29/2011 12:51:48 AM,52.60
5/29/2011 6:23:00 PM,52.38
5/30/2011 11:54:12 AM,52.33
5/31/2011 5:25:24 AM,52.64
5/31/2011 10:56:36 PM,52.31
6/1/2011 4:27:48 PM,52.49
